ID,TARGET
481,they re all going to kill us 
482,they re going to stop you 
483,they re going to find you 
484,they are looking at you 
485,i accept the job 
486,i buy the tickets 
487,i buy a new hat to my urb 
488,i m hungry again 
489,i m so hungry as a little 
490,i m so sleepy too 
491,i m very successful 
492,i m afraid you re right 
493,i m afraid you re late 
494,i m afraid you re late 
495,i m hot in this coat 
496,i m in big trouble 
497,i have experience 
498,i ve already got a lot of problems 
499,i m in trouble because of you 
500,i have problems because of you 
501,i ve got desperately needed 
502,i m in trouble reading it 
503,i m in remembering things 
504,i m in trouble with grammar french 
505,i m still very scared 
506,i m hungry because i haven t eaten lunch 
507,am i hungry and me? 
508,i m hungry if i m going to eat something 
509,i m hungry if i want something to eat 
510,i m done too 
511,i can t wait tomorrow 
512,i can t wait to go to the concert 
513,i m looking forward to doing that 
514,i can t wait to see tom 
515,i m ashamed of doing that 
516,i m ashamed of doing that 
517,i m ashamed of being done it 
518,i m ashamed of my bad english english 
519,i m ashamed of you 
520,i just feel like sleeping 
521,i have a teambow 
522,i m the habit of heat 
523,i m the habit of the cold 
524,i have the same size that tom 
525,i m half your age 
526,i m sleepy 
527,i m hungry now 
528,i m thirty years old now 
529,i m sore 
530,i m all over 
531,i m even a little thirsty 
532,i m not scared of cops 
533,i m not sleepy 
534,i m afraid too 
535,i m afraid i m in the wrong train 
536,i m afraid of what the teacher will say 
537,i m afraid i have to tell the truth 
538,i m afraid i m doing that 
539,i m afraid i m doing this in the winter 
540,i m afraid i m losing 
541,i m afraid of my leader 
542,i m afraid of my boss 
543,i m afraid i ll lose you 
544,i m afraid i ll lose you 
545,i m afraid of snakes 
546,i m afraid of myself 
547,i m afraid of you 
548,i m afraid it s raining 
549,i m afraid you re in danger 
550,i m afraid you re losing 
551,i m afraid you have the wrong number 
552,i m afraid you re in danger 
553,i have planned to buy that car 
554,i almost finished the report 
555,i have an appointment with you tomorrow 
556,i m sleepy so i go to bed 
557,i m so cold 
558,i tend to be agreed with you 
559,i m your age 
560,i m always scared of the dark 
561,i m always right 
562,i m always a little hungry 
563,i m all hungry 
564,i feel very like sleeping 
565,i m very ashamed of myself 
566,i m very afraid of snakes 
567,i m three years older than tom 
568,i m three years older than my brother 
569,i m too lucky 
570,i m too hungry to study 
571,i m too afraid to think 
572,i have a tight schedule 
573,i ve got a maid 
574,i have a little difficulty with that 
575,i m a little cold 
576,i m a little scared 
577,i m a little thirsty 
578,i m really looking forward to tomorrow 
579,i help tom 
580,i like playing the guitar well 
581,i like someone else 
582,i belong to a swimming club 
583,i m calling a mobile phone 
584,i m calling the police 
585,i m calling the doctor 
586,i m calling to thank you 
587,i m calling tom 
588,i really like challenge 
589,i m learning doing that 
590,i m learning playing the guitar now 
591,i m learning a lot 
592,i learn something new now 
593,i m learning french now 
594,i m learning english 
595,i m learning the typist 
596,i m learning downstairs 
597,i m learning french 
598,i learn french now 
599,i m learning slowly 
600,i learn several languages 
601,i always learn something new 
602,i m giving up smoking 
603,i can t do a little late 
604,i just wait a call 
605,i m waiting for the man 
606,i m waiting for the right time 
607,i m looking for the holidays 
608,i m waiting for my family 
609,i m waiting for my driver 
610,i hear that the fire changes 
611,i expect someone to help me 
612,i expect you to go 
613,i m waiting for your letter 
614,i m looking forward to your letter 
615,i m waiting for your answer 
616,i m waiting for a telephone call 
617,i m waiting for a telephone this morning 
618,i m waiting for a happy event 
619,i m waiting for a letter from his side 
620,i m waiting for tom a letter 
621,i m expecting a answer to my questions 
622,i m expecting a answer from you 
623,i m waiting for your letter 
624,i m waiting for your answer 
625,i ll be thirty this october 
626,i m saving up for when i m old 
627,i listen to classical music 
628,i m writing 
629,i wrote to tom a letter now 
630,i m writing to tom 
631,i m writing a book 
632,i m writing a song 
633,i m writing a song in french 
634,i m writing a letter to my daughter 
635,i m sick of this place 
636,i m sick of reading 
637,i m pretty christmas 
638,i m sick of his lazy 
639,i m sick of your stories 
640,i m done with you two 
641,i m done for huding 
642,i m getting tired of this place 
643,i m tired of doing that 
644,i m tired of waiting in line 
645,i m tired of reading 
646,i m getting tired of eating fish 
647,i m fed up with christmas 
648,i m fed up with your apology 
649,i m getting tired of your stories 
650,i m fed up with your behavior 
651,i m tired of everything 
652,i m tired of working here 
653,i m tired of living like that 
654,i m fed up with french 
655,i m sick of that 
656,i m so tired of all this 
657,i m very ashamed of this 
658,i m really tired of this heat 
659,i m one of it 
660,i m sorry about it 
661,i m sorry about it 
662,i m extremely unhappy 
663,i m proud of it 
664,i m sick 
665,i m pretty sure of that 
666,i m pretty sure of that 
667,i appreciate it 
668,i m sure of it 
669,i m sure about it 
670,i m investigating for an murder 
671,i m coming inside 
672,i m planning to buy a house 
673,i m seriously thinking about selling my house 
674,i have some difficulty with that 
675,i m trying 
676,i m trying to help 
677,i m trying to stop 
678,i try to be patient 
679,i try to be reasonable 
680,i m trying to be sincere 
681,i try to be of service 
682,i m trying to understand 
683,i m trying to understand all that 
684,i m trying to do my best 
685,i m trying to do it 
686,i m trying to put some money aside 
687,i m trying to lose weight 
688,i m trying to protect tom 
689,i try to stay calm 
690,i m trying to stay awake 
691,i m trying to follow 
692,i m trying to go for you 
693,i m trying to find work 
694,i m trying to help you 
695,i m just trying to be helpful 
696,i m just trying to win my life 
697,i m just trying to survive 
698,i m just trying to protect you 
699,i try to learn french 
700,i m trying to stop smoking 
701,i m trying to stop tom 
702,i try to be happy 
703,i try to be happy 
704,i m trying to be right 
705,i try to study 
706,i try to understand something 
707,i m trying to do that 
708,i m trying to do the right thing 
709,i try to understand it 
710,i m trying to coach 
711,i try not to be seen 
712,i m trying not to see me 
713,i m trying not to laugh 
714,i try to solve this problem 
715,i m trying to get out of here 
716,i m trying to save you 
717,i try to work 
718,i m trying to find a new job 
719,i m trying to save you 
720,i m just trying to survive 
721,i m just trying to be a good neighbor 
722,i just try to be a good father 
723,i just tried to survive 
724,i study english at home 
725,i study french and english 
726,i study options 
727,i study to be an artist 
728,i live with my parents 
729,i always live in australia 
730,i m watching 
731,i always forget people s name 
732,i m going back tomorrow 
733,i ll be there too 
734,i m used to it now 
735,i m almost there 
736,i m going to hate it today 
737,i m going with her 
738,i m going tomorrow 
739,i m also going too 
740,i m going because i feel like it 
741,i drink tea 
742,i m singing wrong 
743,i sing very bad 
744,i m looking for to know the truth 
745,i m looking for work to boston 
746,i m looking for a friend of mine 
747,i m looking for a friend of mine 
748,i m looking for the key 
749,i m looking for my mother 
750,i m looking for my car keys 
751,i m looking for my parents 
752,i m looking for my cat 
753,i m looking for my dog 
754,i m looking for my father 
755,i m looking for my mobile phone 
756,i m looking for someone else 
757,i m looking for tom 
758,i m looking for a friend 
759,i m looking for a friend of mine 
760,i m looking for a good computer 
761,i m looking for a present for my mother 
762,i m looking for a present for a friend 
763,i m looking for a tight schedule 
764,i m looking for a job near my house 
765,i m looking for a place to live or lives 
766,i m looking for a new place to live 
767,i m looking for a place to sleep 
768,i m getting tired of doubts 
769,i m getting cold 
770,i m getting scared of death 
771,i m getting a little hungry 
772,i m getting tired of this 
773,i m getting tired of that 
774,i m getting tired 
775,i m getting tired of tired 
776,i m beginning to regret it 
777,i m getting remember 
778,i m getting bored 
779,i m getting used to getting to the darkness 
780,i m getting better 
781,i m getting more confident 
782,i m getting more confident 
783,i m beginning to think you re serious 
784,i m beginning to think you re serious 
785,i m beginning to think you re serious 
786,i m beginning to think you re serious 
787,i m getting lost my hair 
788,i m getting lost my patience with tom 
789,i m getting a hand 
790,i m already getting better 
791,i really m getting to love boston 
792,i m really beginning to hate this city 
793,i m counting that car 
794,i m counting the days 
795,i m counting on you 
796,i drive as fast as i can 
797,i know that part of town 
798,i know the subject well 
799,i m keeping learning 
800,i m afraid i m losing 
801,i m afraid i have no choice 
802,i m still not sure i don t understand 
803,i m afraid of his health 
804,i m afraid it s raining 
805,i m afraid he will come from 
806,i m afraid he won t come 
807,i m afraid it wasn t necessary 
808,i m afraid the situation is very serious 
809,i m afraid no one can do anything 
810,i m afraid you didn t understand me 
811,i m afraid you re wasting your time 
812,i shouted 
813,i cooked 
814,i m asking if you are hungry 
815,i m depressed 
816,i ll get off soon 
817,i m getting off the bus here 
818,i m going crazy 
819,i ll tell tom the truth 
820,i just say that s a possibility 
821,i m telling tom the truth 
822,i said i liked that 
823,i just say that s possible 
824,i must meet him at six o clock 
825,i give tom a chance 
826,i give a party for my birthday 
827,i do this morning 
828,i m doing this for our children s future 
829,i do what i believe is right 
830,i m doing what i can 
831,i m doing what i want 
832,i m making a mistake 
833,i m cooking 
834,i m the same size as tom 
835,i m shopping 
836,i m now official part of this group 
837,i m too much mistakes 
838,i m taking a break 
839,i m taking a walk 
840,i earn more money now 
841,i keep this place for a friend 
842,i keep a seat on you 
843,i m dying 
844,i m playing a video game 
845,i play guitar right now 
846,i m taking it with me 
847,i wash my brother s car 
848,i washed my dog 
849,i say it as it is 
850,i m doing it even 
851,i m taking it with me 
852,i m taking them with me 
853,i m very reading 
854,i m reading in my bed 
855,i m reading new 
856,i m stalling slowly 
857,i m reading your thought 
858,i m reading your book 
859,i read a book from skiing 
860,i read a book about animals 
861,i m reading your book 
862,i m for him for granted 
863,i had a lot of fun here 
864,i had a good time 
865,i really enjoyed myself 
866,i expect tom to be here 
867,i broke up 
868,i m winning 
869,i m getting out of it 
870,i m bored if i do something else 
871,i m practiced with my friends 
872,i apologize 
873,i m familiar with this time 
874,i m familiar to do that 
875,i m used to doing it 
876,i m used to the weather here 
877,i m worried about you 
878,i worried about the results of the exam 
879,i m worried about his health 
880,i m worried about tom 
881,i m worried about a little 
882,i m interested in football 
883,i m looking for tom for a good deal 
884,i m trying to get away 
885,i eat harmans 
886,i m eating slowly 
887,i eat your chocolate 
888,i eat everything 
889,i eat your chocolate 
890,i brush my hair 
891,i wonder who s going to win 
892,i m going home 
893,i m upset 
894,i do a lot more money now 
895,i worry about tom 
896,i worry about you 
897,i grow a beard 
898,i really worry about tom 
899,i m married this year 
900,i m married tomorrow 
901,i got married next month 
902,i m getting angry 
903,i m making fun of you 
904,i made fun of tom 
905,i m just a fool 
906,i m getting ready to bed 
907,i m glad to hear him very much 
908,i m glad to see you very much 
909,i m glad to take part of this project 
910,i m glad to bite you 
911,i m glad to visit you 
912,i go to school 
913,i m going home 
914,i m going home 
915,i feel pretty unhappy about it 
916,i feel good 
917,i feel like this morning 
918,i just feel a little sick 
919,i feel sick 
920,i feel so lonely 
921,i feel a little tired 
922,i feel a little sick 
923,i feel a little better 
924,i really feel better 
925,i often faint myself 
926,i m in the manager 
927,i m right behind her 
928,i m asking by the next time i m old 
929,i m starving 
930,i m getting cold 
931,i m dying for this cold window 
932,i m not ashamed of anything 
933,i don t have any words 
934,i m not at all sleepy 
935,i m not finished talking to you yet 
936,i m not finished talking to you yet 
937,i m not asleep yet 
938,i don t feel like sleeping 
939,i m not hungry right now 
940,i m not hungry right now 
941,i m not the habit of that 
942,i m not used to losing 
943,i m not used to work hard 
944,i don t have the right to talk about it 
945,i don t have the right to go out 
946,i don t have time to go out now 
947,i don t have green 
948,i m not hurt 
949,i m not scared to do that 
950,i m not scared to make mistakes 
951,i m not scared of your dog 
952,i m not scared of your dog 
953,i m not afraid of spiders 
954,i m not scared of women 
955,i m not scared of cops 
956,i m not scared of terrorists 
957,i m not afraid of the empty 
958,i m not that hungry 
959,i don t have any money anymore 
960,i m not legs anymore 
961,i m out of breath anymore 
962,i m not hungry anymore 
963,i don t have any choice anymore 
964,i m not scared of dogs anymore 
965,i m not scared anymore 
966,i m still not scared 
967,i can t do anything 
968,i don t expect christmas in this year 
969,i can t really do that heat anymore 
970,i m not proud of it 
971,i m not convinced about it 
972,i m still not sure about it 
973,i m still not sure about it 
974,i m not trying to be apology 
975,i don t study french 
976,i ll never go to boston again 
977,i won t go without you 
978,i don t even think about it 
979,i m not used to it 
980,i m not counting at all 
981,i don t count on tom to do it 
982,i don t count on anyone s help 
983,i don t know well about that 
984,i m not asking for forgiveness 
985,i won t say his name 
986,i m not saying no 
987,i m not saying that s easy 
988,i m not saying that s wrong 
989,i m not saying that s impossible 
990,i m not saying you re wrong 
991,i don t sleep yet 
992,i m not doing this for you 
993,i m not doing this for me 
994,i m not doing the diast 
995,i m just joking 
996,i m not doing anything different 
997,i m not doing this for you 
998,i m not worried about that 
999,i m not worried about that 
1000,i m not sorry 
1001,i m not worried about all this 
1002,i m not baking with you 
1003,i m not sorry too much 
1004,i m not drug addicted 
1005,i m not going there 
1006,i m not mistaken 
1007,i don t swim very well 
1008,i don t deny anything 
1009,i don t talk about you 
1010,i don t talk about tom 
1011,i don t talk about you 
1012,i m not leaving with tom 
1013,i m not leaving without you 
1014,i won t go here 
1015,i won t leave without you 
1016,i m not a good day 
1017,i m not hopeless 
1018,i can t do it yet 
1019,i can t do it even 
1020,i can t walk 
1021,i don t take a holiday this year 
1022,i don t take any chances anymore 
1023,i m not watching 
1024,i can t swim well myself either 
1025,i don t know exactly what s happening 
1026,i don t know if tom can do it 
1027,i don t know how to cook very well 
1028,i don t know how to take it 
1029,i don t know how to go 
1030,i don t know too much where i am 
1031,i don t know how to start 
1032,i don t know what to do too much 
1033,i don t know any more than tom does it yet 
1034,i don t know anything about their plan 
1035,i won t be here tomorrow 
1036,i don t go out with that time 
1037,i don t go out with tom 
1038,i don t go out tonight 
1039,i m not suffering 
1040,i m not in my office now 
1041,i m not in love with anyone 
1042,i m not in love with anyone 
1043,i m not guilty of anything 
1044,i m not like you 
1045,i m here for the rest of the weekend 
1046,i m never in a hurry 
1047,i m never in a hurry 
1048,i m not even tired 
1049,i m not even tired 
1050,i m not even surprised 
1051,i m not even a bit surprised 
1052,i m not even a little surprised 
1053,i m not an expert either 
1054,i m not in love with you 
1055,i m not in love with you 
1056,i m not old enough 
1057,i m not old enough 
1058,i m not pretty experienced 
1059,i m not quite strong enough to do that 
1060,i m not strong enough to do that 
1061,i m not paid enough 
1062,i m not old enough to do that 
1063,i m not old enough to do that 
1064,i m not competeicient 
1065,i m not in the best of my shape 
1066,i m not dieting 
1067,i m not as confident as you 
1068,i m not as tall as you 
1069,i m not as tall as you 
1070,i m not as fast as tom 
1071,i m not as rich as before 
1072,i m not as saved as that 
1073,i m not as old as you are 
1074,i m not allowed to talk about it 
1075,i m not allowed to talk 
1076,i m not allowed to talk 
1077,i m not allowed to talk about this 
1078,i m not a lawyer 
1079,i m not weird 
1080,i m not good at swimming 
1081,i m not good at drawment 
1082,i m not good at french 
1083,i m not good at mathematics 
1084,i m not good at writing songs 
1085,i m not good at cooking 
1086,i m not good at french 
1087,i can t do that 
1088,i m not famous 
1089,i m not the one who s making the rules 
1090,i m not supposed to talk about it 
1091,i m not supposed to do that 
1092,i m not supposed to talk to tom 
1093,i m not supposed to help you 
1094,i m not supposed to talk to you 
1095,i m not supposed to do that 
1096,i m not supposed to talk to tom 
1097,i m not sure this is necessary 
1098,i m not like them 
1099,i m not like them 
1100,i m not like you 
1101,i m not like everybody 
1102,i m not like you 
1103,i m not entirely sure 
1104,i m not creative 
1105,i m not creative 
1106,i m not naive 
1107,i m not in a mood for this 
1108,i m not in a good mood 
1109,i m not in a good mood today 
1110,i m not on duty now 
1111,i m not different from you 
1112,i m not different from you 
1113,i m not different from you 
1114,i m not different from you 
1115,i m not hard 
1116,i m not willing to pay so much 
1117,i m not good at keeping secrets 
1118,i m not good at cooking 
1119,i m not good at sports 
1120,i m not good at people 
1121,i m not at all concerned 
1122,i m not happy with her 
1123,i m not scared at all 
1124,i m not embarrassed at all 
1125,i m not embarrassed at all 
1126,i m not worried about all 
1127,i m not worried about this 
1128,i m not interested in all 
1129,i m not interested in all 
1130,i m not a nervous person 
1131,i m not nervous at all 
1132,i m not at all satisfied with her 
1133,i m not healthy 
1134,i can t stop him 
1135,i can t do that 
1136,i m not safe 
1137,i m not safe here 
1138,i m not wrong 
1139,i haven t woken up yet 
1140,i m not famous yet 
1141,i m not dressed yet 
1142,i m not used to doing that yet 
1143,i m not used to living here yet 
1144,i m not used to living here yet 
1145,i m not ready to talk about it yet 
1146,i m not ready to do this yet 
1147,i m not ready to do that yet 
1148,i m not sure yet 
1149,i m not a student 
1150,i m not a student 
1151,i m not upset 
1152,i m not upset against you 
1153,i m not upset to be disappointed 
1154,i m not tired anymore 
1155,i m not proud of myself 
1156,i m not lazy 
1157,i m not used to those things 
1158,i m not used to doing that 
1159,i m not used to heat 
1160,i m not used to bed late 
1161,i m not used to speaking in public 
1162,i m not used to doing that 
1163,i m not used to speaking in public 
1164,i m not happy with the situation 
1165,i m not happy with the situation 
1166,i m not here to buy shoes 
1167,i m not incompetent 
1168,i m not worried about that 
1169,i m not interested in your problems 
1170,i m not interested in your problems 
1171,i m not the enemy 
1172,i m not the only one 
1173,i m not the only one who likes tom 
1174,i m not the only one to do that 
1175,i m not the only canadian girl here 
1176,i m not responsible for it 
1177,i m not the manager of this 
1178,i m not the only one 
1179,i m not the only one who likes tom 
1180,i m not the only one who is hungry 
1181,i m not the only one to do that 
1182,i m not the only canadian girl here 
1183,i m not free today 
1184,i m not married either 
1185,i m not married either 
1186,i m not a doctor but a teacher 
1187,i m not my father 
1188,i m not dead 
1189,i m not dead 
1190,i m not in any more mood 
1191,i m not obsessed with money 
1192,i m not busy right now 
1193,i m not busy right now 
