ID,fra
121,desolee je ne peux pas faire ca
122,elle a cinq ans
123,elle a deux ans de moins que lui
124,elle a dix sept ans
125,elle a hate de le revoir
126,elle a l habitude de parler en public
127,elle a la parole
128,elle a peur de son propre ombre
129,elle a travaille toute la journee
130,elle a tres peur des serpents
131,elle a un chat ce chat est blanc
132,elle aime beaucoup les chiens
133,elle chante incroyablement bien
134,elle cherche le portefeuille qu elle a perdu
135,elle commence a jouer du piano
136,elle connait bien le sujet
137,elle continue
138,elle devient rouge
139,elle est a l eglise en ce moment
140,elle est a moi
141,elle est americaine
142,elle est blonde
143,elle est deja de retour
144,elle est deux ans plus jeune que lui
145,elle est en reunion
146,elle est en train de laver la voiture
147,elle est etudiante a l universite
148,elle est francaise
149,elle est gentille avec lui
150,elle est impatiente de le revoir
151,elle est independante
152,elle est interessee d apprendre de nouvelles idees
153,elle est paresseuse
154,elle est plus intelligente que moi
155,elle est populaire aupres des autres filles
156,elle est pressee parce qu elle est en retard
157,elle est quelque peu timide
158,elle est tres innocente
159,elle est tres sensible aux critiques
160,elle est un peu timide
161,elle est vraiment mignonne
162,elle etait censee rentrer avant l heure du dejeuner
163,elle fait des progres en anglais
164,elle joue au monopoly
165,elle l aide
166,elle l embrasse
167,elle maitrise le francais
168,elle n a rien a se reprocher
169,elle n est pas aussi grande que lui
170,elle n est pas des notres
171,elle n est pas du genre a mentir
172,elle n est pas toujours en retard
173,elle n est pas tres bavarde
174,elle n est plus ce qu elle etait
175,elle ne va pas le leur expliquer
176,elle parle
177,elle porte une robe blanche aujourd hui
178,elle s occupe des enfants a la maison
179,elle se plaint toujours de mon faible salaire
180,elle va avoir un bebe ce mois ci
181,elle va beaucoup me manquer
182,elle va bien la
183,elles attendent quelque chose
184,elles font du bon travail
185,elles n ont peur de rien
186,elles ne sont pas bonnes
187,elles ont a peu pres le meme age
188,elles ont toutes tres faim
189,elles parlent de ce qu elles vont chanter
190,elles parlent de toi
191,elles parlent de vous
192,elles sont amies
193,elles sont apres toi
194,elles sont apres vous
195,elles sont coincees
196,elles sont dehors
197,elles sont derriere nous
198,elles sont dingues de jazz
199,elles sont dures
200,elles sont effrayees
201,elles sont en haut
202,elles sont en retard comme d habitude
203,elles sont en securite
204,elles sont genereuses avec leur argent
205,elles sont geniales
206,elles sont impliquees
207,elles sont inquietes
208,elles sont interessees
209,elles sont intrepides
210,elles sont jumelles
211,elles sont libres de partir
212,elles sont maintenant seules
213,elles sont merveilleuses
214,elles sont paresseuses
215,elles sont piegees
216,elles sont plus rapides que nous
217,elles sont s urs
218,elles sont toutes les deux belles
219,elles sont toutes tres occupees
220,elles sont trop dangereuses
221,elles sont vraiment bonnes
222,elles sourient
223,elles sourient toutes les deux
224,elles travaillent
225,elles vont le faire a notre place
226,elles vont le faire pour nous
227,elles vont te trouver
228,elles vont vous trouver
229,elles vous regardent
230,en fait j ai un peu peur
231,en fait tu te trompes
232,excuse moi je dois partir
233,excuse moi pour ca
234,excusez moi
235,excusez moi mais je ne comprends pas
236,excusez moi mais je pense que vous avez tort
237,ici nous sommes tous canadiens
238,il a ans de plus qu elle
239,il a des prejuges contre elle
240,il a des prejuges sur elle
241,il a dix ans de plus que toi
242,il a droit a un meilleur traitement
243,il a fait ses devoirs
244,il a l age d etre ton pere
245,il a l habitude de manger a la hate
246,il a l habitude de parler en public
247,il a peur de ce chien
248,il a plus de force que moi
249,il a quelque chose d un erudit
250,il a trois ans de plus qu elle
251,il adore dessiner
252,il adore jouer au tennis
253,il aime jouer au tennis
254,il attend a l arret de bus
255,il court vite
256,il dejeune en ce moment
257,il devient aveugle
258,il ecoute les nouvelles a la radio
259,il entraine un cheval pour une course
260,il est a la fois grand et gros
261,il est a moi
262,il est actif dans l enseignement
263,il est agressif
264,il est alite depuis quatre jours
265,il est allonge sur le banc
266,il est anglais mais vit en inde
267,il est ans plus vieux qu elle
268,il est assez riche pour acheter la peinture
269,il est aussi age que mon pere
270,il est aussi grand que mon frere
271,il est aussi grand que mon pere
272,il est beaucoup plus grand que moi
273,il est bien connu dans notre pays
274,il est bien meilleur que toi
275,il est bon pour raconter des blagues
276,il est britannique
277,il est capable d enseigner le francais
278,il est ce qu on appelle un dictionnaire ambulant
279,il est competent en tant qu enseignant d anglais
280,il est conducteur de bus
281,il est confronte a un probleme difficile
282,il est connu dans le monde entier
283,il est de trois ans plus age qu elle
284,il est deja trop loin pour nous entendre
285,il est determine a aller en angleterre
286,il est deux fois plus age que moi
287,il est en colere contre moi
288,il est en train de manger une pomme
289,il est encore trop jeune pour ce travail
290,il est extremement poli
291,il est financierement independant de ses parents
292,il est furieux contre vous
293,il est genial
294,il est hongrois
295,il est incapable de conduire une voiture
296,il est interesse par beaucoup de choses
297,il est juste derriere moi
298,il est l amour de ma vie
299,il est le bebe de la famille
300,il est le fils aine
301,il est le fils unique d une famille fortunee
302,il est le pere de trois enfants
303,il est le plus brillant de la classe
304,il est maigre
305,il est maintenant presque aussi grand que son pere
306,il est marie et a deux enfants
307,il est marie et a trois enfants
308,il est medecin
309,il est moins impatient que son pere
310,il est moins intelligent que moi
311,il est moins intelligent que son grand frere
312,il est parfois bizarre
313,il est parfois etrange
314,il est parti en voyage
315,il est pitoyable et idiot
316,il est plus age qu elle de trois ans
317,il est plus grand que moi d une tete
318,il est plus grand que son pere
319,il est plus intelligent que sage
320,il est plus vieux qu elle de ans
321,il est plus vieux que moi de deux ans
322,il est plutot mauvais au tennis
323,il est prisonnier mais innocent
324,il est probable qu il viendra
325,il est probablement toujours en vie
326,il est probablement toujours vivant
327,il est riche et je suis pauvre
328,il est satisfait de son sort
329,il est souvent en retard a l ecole
330,il est souvent en retard au travail
331,il est sur le point de sortir
332,il est toujours content
333,il est toujours gentil envers les animaux
334,il est toujours ponctuel a ses rendez vous
335,il est tout sauf idiot
336,il est tout sauf un imbecile
337,il est tres amical aujourd hui
338,il est tres amical envers nous
339,il est tres beau
340,il est tres curieux
341,il est tres difficile a table
342,il est tres gentil avec moi
343,il est tres timide
344,il est trop fier pour abandonner
345,il est trop fier pour laisser tomber
346,il est trop honnete pour raconter des mensonges
347,il est trop mignon
348,il est trop vieux pour essayer ca
349,il est un bon ecrivain
350,il est un peu comme son pere
351,il est vraiment nul en maths
352,il lit un livre dans sa chambre
353,il maitrise parfaitement la nouvelle technique
354,il manque d argent
355,il manque toujours d argent
356,il n a peur de personne
357,il n est pas fait pour enseigner
358,il n est pas qualifie pour ce poste
359,il n est pas stupide
360,il n est pas taille pour l enseignement
361,il n est plus ce qu il fut
362,il n est plus dans les affaires
363,il n est plus en colere
364,il n est plus membre de notre club
365,il n est plus un garcon
366,il n est president que de nom
367,il ne craint personne
368,il ne reste que nous
369,il parle couramment le francais
370,il parle francais couramment
371,il parle le francais couramment
372,il perd ses cheveux
373,il peut parler japonais
374,il pose toujours des questions stupides
375,il pose tout le temps des questions idiotes
376,il reste chez son oncle
377,il s habitue a cette situation
378,il s habitue a la situation
379,il sont tellement mignons ensemble
380,il tombe
381,il travaille dans une banque
382,il va etudier l anglais la semaine prochaine
383,il va juste falloir que tu me fasses confiance
384,il va me falloir plus de temps que cela
385,il viendra me voir demain apres midi
386,ils attendent
387,ils discutent de ce qu ils vont chanter
388,ils font ce qu ils peuvent
389,ils font partie d une equipe de foot
390,ils font un bon travail
391,ils n ont aucun soupcon
392,ils n ont peur de rien
393,ils n ont qu eux memes
394,ils ne font que leur travail
395,ils ne sont pas bons
396,ils ne sont pas comme nous
397,ils ne sont pas la
398,ils ne vont pas te donner ce travail
399,ils ont la belle vie
400,ils ont peur de ce qui pourrait arriver
401,ils ont peur de ce qui pourrait se passer
402,ils ont tort
403,ils ont tous peur de toi
404,ils ont tous tres faim
405,ils ont trente minutes de retard sur le planning
406,ils parlent de toi
407,ils parlent de vous
408,ils sont a vous
409,ils sont amis
410,ils sont apres toi
411,ils sont apres vous
412,ils sont aussi fatigues que nous
413,ils sont bizarres
414,ils sont bons
415,ils sont canadiens
416,ils sont coinces
417,ils sont dans la cuisine
418,ils sont dedans
419,ils sont derriere nous
420,ils sont differents comme le jour et la nuit
421,ils sont dingues de jazz
422,ils sont durs
423,ils sont effrayes
424,ils sont en chemin
425,ils sont en faveur de ton plan
426,ils sont en haut
427,ils sont en retard comme d habitude
428,ils sont en route
429,ils sont en securite
430,ils sont en tres bon etat
431,ils sont encore disponibles
432,ils sont enseignants de francais
433,ils sont fiances
434,ils sont frere et s ur
435,ils sont freres
436,ils sont genereux avec leur argent
437,ils sont geniaux
438,ils sont gros
439,ils sont impatients de te voir
440,ils sont impliques
441,ils sont impuissants
442,ils sont inquiets
443,ils sont interesses
444,ils sont intrepides
445,ils sont jeunes
446,ils sont jumeaux
447,ils sont la pour vous proteger
448,ils sont maintenant seuls
449,ils sont maries
450,ils sont moches
451,ils sont morts tous les deux
452,ils sont nouveaux
453,ils sont pieges
454,ils sont plus ou moins de la meme taille
455,ils sont plus rapides que nous
456,ils sont rapides
457,ils sont satisfaits de ton travail
458,ils sont separes
459,ils sont toujours a l interieur
460,ils sont tous deux bons eleves
461,ils sont tous les deux beaux
462,ils sont tous pieds nus
463,ils sont tous tres occupes
464,ils sont tout seuls
465,ils sont tres heureux
466,ils sont trop dangereux
467,ils sont trop occupes pour te parler maintenant
468,ils sont voisins
469,ils sont vraiment bons
470,ils sourient tous les deux
471,ils travaillent
472,ils voient leur oncle demain
473,ils vont bien
474,ils vont juste au magasin la bas
475,ils vont le faire a notre place
476,ils vont le faire pour nous
477,ils vont me tuer
478,ils vont mourir
479,ils vont s occuper de lui
480,ils vont te trouver
481,ils vont tous nous tuer !
482,ils vont vous arreter
483,ils vont vous trouver
484,ils vous regardent
485,j accepte le poste
486,j achete les billets
487,j achete un nouveau chapeau a ma s ur
488,j ai a nouveau faim
489,j ai aussi un peu faim
490,j ai aussi un peu sommeil
491,j ai beaucoup de succes
492,j ai bien peur que tu aies raison
493,j ai bien peur que tu sois en retard
494,j ai bien peur que vous soyez en retard
495,j ai chaud dans ce manteau
496,j ai de gros ennuis
497,j ai de l experience
498,j ai deja beaucoup de problemes
499,j ai des ennuis a cause de vous
500,j ai des problemes a cause de toi
501,j ai desesperement besoin d aide
502,j ai du mal a le lire
503,j ai du mal a me souvenir des choses
504,j ai du mal avec la grammaire francaise
505,j ai encore tres peur
506,j ai faim car je n ai pas dejeune
507,j ai faim et toi ?
508,j ai faim je vais manger quelque chose
509,j ai faim je veux manger quelque chose
510,j ai fini moi aussi
511,j ai hate a demain
512,j ai hate d aller au concert
513,j ai hate de faire ca
514,j ai hate de voir tom
515,j ai honte d avoir fait ca
516,j ai honte d avoir fait cela
517,j ai honte de l avoir fait
518,j ai honte de mon mauvais anglais
519,j ai honte de vous
520,j ai juste envie de dormir
521,j ai l esprit d equipe
522,j ai l habitude de la chaleur
523,j ai l habitude du froid
524,j ai la meme taille que tom
525,j ai la moitie de ton age
526,j ai le sommeil leger
527,j ai maintenant faim
528,j ai maintenant trente ans
529,j ai mal
530,j ai mal partout
531,j ai moi meme un petit peu soif
532,j ai pas peur des flics
533,j ai pas sommeil
534,j ai peur aussi
535,j ai peur d etre dans le mauvais train
536,j ai peur de ce que le professeur dira
537,j ai peur de dire la verite
538,j ai peur de faire ca
539,j ai peur de faire ca en hiver
540,j ai peur de me perdre
541,j ai peur de mon chef
542,j ai peur de mon patron
543,j ai peur de te perdre
544,j ai peur de vous perdre
545,j ai peur des serpents
546,j ai peur moi aussi
547,j ai peur pour vous
548,j ai peur qu il ne pleuve
549,j ai peur que tu sois en danger
550,j ai peur que tu te perdes
551,j ai peur que vous ayez le mauvais numero
552,j ai peur que vous soyez en danger
553,j ai pour projet d acheter cette voiture
554,j ai presque fini le rapport
555,j ai rendez vous avec un ami demain
556,j ai sommeil alors je vais me coucher
557,j ai tellement froid
558,j ai tendance a etre d accord avec vous
559,j ai ton age
560,j ai toujours peur du noir
561,j ai toujours raison
562,j ai toujours un peu faim
563,j ai tout le temps faim
564,j ai tres envie de dormir
565,j ai tres honte de moi
566,j ai tres peur des serpents
567,j ai trois ans de moins que tom
568,j ai trois ans de plus que mon frere
569,j ai trop de chance
570,j ai trop faim pour etudier
571,j ai trop peur pour reflechir
572,j ai un emploi du temps serre
573,j ai un parti pris
574,j ai un peu de difficulte avec ca
575,j ai un peu froid
576,j ai un peu peur
577,j ai un peu soif
578,j ai vraiment hate d etre a demain
579,j aide tom
580,j aime bien jouer de la guitare
581,j aime quelqu un d autre
582,j appartiens a un cercle de natation
583,j appelle d un telephone portable
584,j appelle la police
585,j appelle le medecin
586,j appelle pour te remercier
587,j appelle tom
588,j apprecie vraiment le defi
589,j apprends a faire ca
590,j apprends a jouer de la guitare maintenant
591,j apprends beaucoup
592,j apprends chaque jour quelque chose de nouveau
593,j apprends desormais le francais
594,j apprends l anglais
595,j apprends la dactylo
596,j apprends le basque
597,j apprends le francais
598,j apprends le francais maintenant
599,j apprends lentement
600,j apprends plusieurs langues
601,j apprends toujours quelque chose de nouveau
602,j arrete de fumer
603,j arrive un peu tard
604,j attends juste un appel
605,j attends l homme ideal
606,j attends le bon moment
607,j attends les vacances d ete avec impatience
608,j attends ma famille
609,j attends mon chauffeur
610,j attends que le feu change
611,j attends que quelqu un m aide
612,j attends que tu t en ailles
613,j attends ta lettre
614,j attends ta lettre avec impatience !
615,j attends ta reponse
616,j attends un coup de telephone
617,j attends un coup de telephone ce matin
618,j attends un heureux evenement
619,j attends une lettre de sa part
620,j attends une lettre de tom
621,j attends une reponse a mes questions
622,j attends une reponse de ta part
623,j attends votre lettre
624,j attends votre reponse
625,j aurai trente ans cet octobre
626,j economise pour quand je serai vieille
627,j ecoute de la musique classique
628,j ecris
629,j ecris a present une lettre a tom
630,j ecris a tom
631,j ecris un livre
632,j ecris une chanson
633,j ecris une chanson en francais
634,j ecris une lettre a ma fille
635,j en ai assez de cet endroit
636,j en ai assez de lire
637,j en ai assez de noel
638,j en ai assez de sa paresse
639,j en ai assez de tes histoires !
640,j en ai fini avec vous deux
641,j en ai fini pour aujourd hui
642,j en ai marre de cet endroit
643,j en ai marre de faire ca
644,j en ai marre de faire la queue
645,j en ai marre de lire
646,j en ai marre de manger du poisson
647,j en ai marre de noel
648,j en ai marre de tes excuses
649,j en ai marre de tes histoires !
650,j en ai marre de ton comportement
651,j en ai marre de tout
652,j en ai marre de travailler ici
653,j en ai marre de vivre comme ca
654,j en ai marre du francais
655,j en ai ras le bol de ca
656,j en ai tellement marre de tout ca
657,j en ai terriblement honte
658,j en ai vraiment marre de cette chaleur
659,j en suis
660,j en suis desole
661,j en suis desolee
662,j en suis extremement malheureuse
663,j en suis fier
664,j en suis malade
665,j en suis plutot sur
666,j en suis plutot sure
667,j en suis reconnaissant
668,j en suis sur a
669,j en suis sure a
670,j enquete sur un meurtre
671,j entre
672,j envisage d acheter une maison
673,j envisage serieusement de vendre ma maison
674,j eprouve quelques difficultes avec ca
675,j essaie
676,j essaie d aider
677,j essaie d arreter
678,j essaie d etre patient
679,j essaie d etre raisonnable
680,j essaie d etre sincere
681,j essaie d etre utile
682,j essaie de comprendre
683,j essaie de comprendre tout ca
684,j essaie de faire de mon mieux
685,j essaie de le faire
686,j essaie de mettre de l argent de cote
687,j essaie de perdre du poids
688,j essaie de proteger tom
689,j essaie de rester calme
690,j essaie de rester eveille
691,j essaie de suivre
692,j essaie de te rendre service
693,j essaie de trouver du travail
694,j essaie de vous aider
695,j essaie juste d etre serviable
696,j essaie juste de gagner ma vie
697,j essaie juste de survivre
698,j essaie seulement de vous proteger
699,j essaye d apprendre le francais
700,j essaye d arreter de fumer
701,j essaye d arreter tom
702,j essaye d etre heureuse
703,j essaye d etre heureux
704,j essaye d etre juste
705,j essaye d etudier
706,j essaye de comprendre quelque chose
707,j essaye de faire ca
708,j essaye de faire la bonne chose
709,j essaye de le comprendre
710,j essaye de m entrainer
711,j essaye de ne pas etre vu
712,j essaye de ne pas me faire voir
713,j essaye de ne pas rire
714,j essaye de resoudre ce probleme
715,j essaye de sortir d ici
716,j essaye de te sauver
717,j essaye de travailler
718,j essaye de trouver un nouveau travail
719,j essaye de vous sauver
720,j essaye juste de survivre
721,j essaye seulement d etre un bon voisin
722,j essaye simplement d etre un bon pere
723,j essaye simplement de survivre
724,j etudie l anglais a la maison
725,j etudie le francais et l anglais
726,j etudie les options
727,j etudie pour devenir artiste
728,j habite avec mes parents
729,j habite toujours en australie
730,j observe
731,j oublie toujours le nom des gens
732,j y retourne demain
733,j y serai aussi
734,j y suis habitue maintenant
735,j y suis presque
736,j y vais aujourd hui
737,j y vais avec elle
738,j y vais demain
739,j y vais moi aussi
740,j y vais parce que j en ai envie
741,je bois du the
742,je chante mal
743,je chante tres mal
744,je cherche a savoir la verite
745,je cherche du travail a boston
746,je cherche l un de mes amis
747,je cherche l une de mes amies
748,je cherche la cle
749,je cherche ma mere
750,je cherche mes cles de voiture
751,je cherche mes parents
752,je cherche mon chat
753,je cherche mon chien
754,je cherche mon pere
755,je cherche mon telephone portable
756,je cherche quelqu un d autre
757,je cherche tom
758,je cherche un ami
759,je cherche un ami a moi
760,je cherche un bon ordinateur
761,je cherche un cadeau pour ma mere
762,je cherche un cadeau pour une amie
763,je cherche un emploi a plein temps
764,je cherche un emploi pres de chez moi
765,je cherche un endroit ou vivre
766,je cherche un nouvel endroit pour vivre
767,je cherche une place ou dormir
768,je commence a avoir des doutes
769,je commence a avoir froid
770,je commence a avoir peur
771,je commence a avoir un peu faim
772,je commence a en avoir marre
773,je commence a en avoir vraiment marre
774,je commence a etre fatiguee
775,je commence a fatiguer
776,je commence a le regretter
777,je commence a m en souvenir
778,je commence a m ennuyer
779,je commence a m habituer a l obscurite
780,je commence a me sentir mieux
781,je commence a me sentir plus confiant
782,je commence a me sentir plus confiante
783,je commence a penser que tu es serieuse
784,je commence a penser que tu es serieux
785,je commence a penser que vous etes serieuses
786,je commence a penser que vous etes serieux
787,je commence a perdre mes cheveux
788,je commence a perdre patience avec tom
789,je commence a prendre le coup de main
790,je commence deja a me sentir mieux
791,je commence vraiment a detester boston
792,je commence vraiment a detester cette ville
793,je compte acheter cette voiture
794,je compte les jours
795,je compte sur vous les gars
796,je conduis aussi vite que je peux
797,je connais bien cette partie de la ville
798,je connais bien le sujet
799,je continue d apprendre
800,je crains de me perdre
801,je crains de ne pas avoir le choix
802,je crains de ne toujours pas comprendre
803,je crains pour sa sante
804,je crains qu il ne pleuve
805,je crains qu il ne vienne de partir
806,je crains qu il ne vienne pas
807,je crains que cela n ait pas ete necessaire
808,je crains que la situation soit tres grave
809,je crains que personne ne puisse rien faire
810,je crains que vous ne m ayez mal compris
811,je crains que vous ne perdiez votre temps
812,je crie
813,je cuisine
814,je demande si tu as faim
815,je deprime
816,je descends bientot
817,je descends du bus ici
818,je deviens dingue
819,je dirai la verite a tom
820,je dis juste que c est une possibilite
821,je dis la verite tom
822,je dis que j ai aime ca
823,je dis simplement que c est possible
824,je dois le rencontrer a six heures
825,je donne une derniere chance a tom
826,je donne une fete pour mon anniversaire
827,je fais ca ce matin
828,je fais ca pour l avenir de nos enfants
829,je fais ce que je crois etre juste
830,je fais ce que je peux
831,je fais ce que je veux
832,je fais erreur
833,je fais la cuisine
834,je fais la meme taille que tom
835,je fais les courses
836,je fais maintenant officiellement partie de ce groupe
837,je fais trop de fautes
838,je fais une pause
839,je fais une promenade
840,je gagne bien plus d argent maintenant
841,je garde cette place pour un ami
842,je garde un il sur toi
843,je jette l eponge
844,je joue a un jeu video
845,je joue de la guitare en ce moment
846,je la prends avec moi
847,je lave la voiture de mon frere
848,je lave mon chien
849,je le dis tel que c est
850,je le fais moi meme
851,je le prends avec moi
852,je les prends avec moi
853,je lis beaucoup
854,je lis dans mon lit
855,je lis des nouvelles
856,je lis lentement
857,je lis tes pensees
858,je lis ton livre
859,je lis un livre sur le ski
860,je lis un livre sur les animaux
861,je lis votre livre
862,je lui suis redevable
863,je m amuse beaucoup ici
864,je m amuse bien
865,je m amuse vraiment bien
866,je m attends a ce que tom soit la
867,je m eclate
868,je m emporte
869,je m en sors bien
870,je m ennuie faisons autre chose
871,je m entraine avec mes amis
872,je m excuse
873,je m habitue a ce temps
874,je m habitue a faire ca
875,je m habitue a le faire
876,je m habitue au temps d ici
877,je m inquiete beaucoup pour toi
878,je m inquiete des resultats de l examen
879,je m inquiete pour sa sante
880,je m inquiete pour tom
881,je m inquiete un peu
882,je m interesse beaucoup au football
883,je m occupe bien de tom
884,je m y essaie
885,je mange des haricots
886,je mange lentement
887,je mange ton chocolat
888,je mange tout
889,je mange votre chocolat
890,je me brosse les cheveux
891,je me demande qui va gagner
892,je me dirige vers chez moi
893,je me fache
894,je me fais beaucoup plus d argent maintenant
895,je me fais du souci pour tom
896,je me fais du souci pour vous
897,je me fais pousser la barbe
898,je me fais vraiment du souci pour tom
899,je me marie cette annee
900,je me marie demain
901,je me marie le mois prochain
902,je me mets en colere
903,je me moque de toi
904,je me moque de tom
905,je me porte comme un charme !
906,je me prepare a aller au lit
907,je me rejouis beaucoup de l entendre
908,je me rejouis beaucoup de te voir
909,je me rejouis de prendre part a ce projet
910,je me rejouis de votre joie
911,je me rejouis de votre visite
912,je me rends a l ecole
913,je me rends chez moi
914,je me rends chez mon ami
915,je me sens assez malheureux a ce sujet
916,je me sens bien !
917,je me sens en forme ce matin
918,je me sens juste un peu malade
919,je me sens malade
920,je me sens tellement seul
921,je me sens un peu fatiguee
922,je me sens un peu malade
923,je me sens un peu mieux
924,je me sens vraiment mieux
925,je me trompe souvent
926,je me trouve a l interieur
927,je me trouve juste derriere elle
928,je mets de cote pour quand je serai vieux
929,je meurs de faim
930,je meurs de froid
931,je meurs de froid ferme cette fenetre
932,je n ai honte de rien
933,je n ai pas de mots
934,je n ai pas du tout sommeil
935,je n ai pas encore fini de te parler
936,je n ai pas encore fini de vous parler
937,je n ai pas encore sommeil
938,je n ai pas envie de dormir
939,je n ai pas faim pour l instant
940,je n ai pas faim pour le moment
941,je n ai pas l habitude de ca
942,je n ai pas l habitude de perdre
943,je n ai pas l habitude de travailler dur
944,je n ai pas le droit d en parler
945,je n ai pas le droit de sortir
946,je n ai pas le temps maintenant pour sortir
947,je n ai pas le vertige
948,je n ai pas mal
949,je n ai pas peur de faire ca
950,je n ai pas peur de faire des erreurs
951,je n ai pas peur de ton chien
952,je n ai pas peur de votre chien
953,je n ai pas peur des araignees
954,je n ai pas peur des femmes
955,je n ai pas peur des flics
956,je n ai pas peur des terroristes
957,je n ai pas peur du vide
958,je n ai pas tellement faim
959,je n ai plus d argent
960,je n ai plus de jambes
961,je n ai plus de souffle
962,je n ai plus faim
963,je n ai plus le choix
964,je n ai plus peur des chiens
965,je n ai plus peur des serpents
966,je n ai toujours pas peur
967,je n arrive a rien
968,je n attends pas noel avec impatience cette annee
969,je n en peux vraiment plus de cette chaleur
970,je n en suis pas fier
971,je n en suis pas totalement convaincue
972,je n en suis toujours pas sur
973,je n en suis toujours pas sure
974,je n essaie pas de trouver des excuses
975,je n etudie pas le francais
976,je n irai plus jamais a boston
977,je n y irai pas sans toi
978,je n y pense meme pas
979,je n y suis pas habitue
980,je ne compte pas dessus
981,je ne compte pas sur tom pour le faire
982,je ne compte sur l aide de personne
983,je ne connais pas bien ce sujet
984,je ne demande pas pardon
985,je ne dirai pas son nom
986,je ne dis pas non
987,je ne dis pas que c est facile
988,je ne dis pas que c est faux
989,je ne dis pas que c est impossible
990,je ne dis pas que tu as tort
991,je ne dors pas encore
992,je ne fais pas ca pour vous
993,je ne fais pas ceci pour moi
994,je ne fais pas la diete
995,je ne fais que plaisanter
996,je ne fais rien de different
997,je ne le fais pas pour toi
998,je ne m en inquiete pas
999,je ne m en inquiete pas trop
1000,je ne m excuse pas
1001,je ne m inquiete pas du tout pour ca
1002,je ne me bats pas avec toi
1003,je ne me donne pas trop de mal
1004,je ne me drogue pas
1005,je ne me rends pas par la
1006,je ne me trompe pas
1007,je ne nage pas tres bien
1008,je ne nie rien
1009,je ne parle pas de toi
1010,je ne parle pas de tom
1011,je ne parle pas de vous
1012,je ne pars pas avec tom
1013,je ne pars pas sans toi
1014,je ne partirai pas d ici
1015,je ne partirai pas sans toi
1016,je ne passe pas une bonne journee
1017,je ne perds pas espoir
1018,je ne peux pas encore le faire
1019,je ne peux pas le faire moi meme
1020,je ne peux pas marcher
1021,je ne prends pas de vacances cette annee
